"county_code","date_id","Clinton","Trump","Stein","Johnson"
6073,1015,3.53,7.36,0.28,0.53
6075,1015,3.84,8.30,0.28,0.46
6077,1015,2.93,5.78,0.22,0.40
6079,1015,3.19,7.18,0.35,0.68
6081,1015,3.74,8.48,0.26,0.42
6083,1015,3.30,6.90,0.32,0.47
6085,1015,3.51,7.79,0.23,0.38
6087,1015,3.88,8.59,0.48,0.50
6089,1015,3.70,6.24,0.33,0.59
6091,1015,3.43,6.86,0.57,0.57
6093,1015,3.14,5.69,0.32,0.56
6095,1015,3.53,7.22,0.33,0.46
6097,1015,3.30,7.96,0.42,0.49
6099,1015,3.27,6.19,0.27,0.46
6101,1015,3.25,6.17,0.29,0.48
6103,1015,3.76,5.79,0.43,0.43
6105,1015,2.06,6.58,0.88,0.59
6107,1015,3.16,6.52,0.19,0.33
6109,1015,3.63,7.31,0.56,0.97
6111,1015,3.90,8.12,0.28,0.60
6113,1015,3.31,6.69,0.37,0.57
6115,1015,3.00,5.21,0.26,0.67
8001,1015,3.36,6.95,0.21,0.69
8003,1015,4.73,6.37,0.16,0.53
8005,1015,3.76,7.59,0.25,0.79
8007,1015,3.34,7.15,0.19,0.67
8009,1015,6.08,1.35,0.00,0.00
8011,1015,3.56,4.75,0.00,1.48
8013,1015,3.87,7.85,0.39,0.75
8014,1015,3.74,7.17,0.26,0.88
8015,1015,4.15,10.03,0.55,2.12
8017,1015,2.36,15.75,0.00,0.79
8019,1015,3.30,6.98,0.23,0.85
8021,1015,6.64,6.64,0.00,0.41
8023,1015,2.37,5.80,1.32,0.53
8025,1015,6.29,6.29,0.00,0.00
8027,1015,2.85,6.30,0.61,0.61
8029,1015,4.44,5.80,0.43,1.00
8031,1015,3.62,7.67,0.26,0.75
8033,1015,6.67,0.00,0.00,0.00
8035,1015,3.96,8.06,0.27,0.97
8037,1015,4.34,8.28,0.49,1.03
8039,1015,3.50,7.07,0.07,1.10
8041,1015,3.79,6.52,0.27,0.98
8043,1015,4.94,6.48,0.62,1.37
8045,1015,4.59,8.01,0.57,0.95
8047,1015,1.53,5.24,0.44,0.87
8049,1015,3.04,9.43,0.21,0.75
8051,1015,2.72,8.15,0.49,1.20
8053,1015,3.39,3.39,1.69,0.00
8055,1015,3.68,8.01,0.65,0.65
8057,1015,3.30,6.98,0.28,0.78
8059,1015,3.92,7.65,0.32,0.93
8061,1015,2.44,2.44,0.00,0.00
8063,1015,5.12,8.09,0.17,0.99
8065,1015,3.08,3.70,0.25,0.62
8067,1015,3.85,7.01,0.54,1.05
8069,1015,3.76,7.74,0.32,0.95
8071,1015,3.38,6.40,0.18,0.89
8073,1015,4.20,5.46,0.42,0.63
8075,1015,3.51,6.80,0.11,0.56
8077,1015,3.65,8.02,0.30,0.84
8079,1015,6.09,6.09,0.87,0.00
8081,1015,1.79,3.23,0.17,0.43
8083,1015,3.63,6.34,0.43,0.81
8085,1015,2.09,5.49,0.14,0.74
8087,1015,3.38,6.60,0.34,0.70
8089,1015,3.60,7.62,0.36,0.90
8091,1015,3.99,9.76,0.44,0.89
8093,1015,3.37,7.69,0.36,0.91
8095,1015,3.02,6.04,0.30,1.51
8097,1015,3.61,8.65,0.40,0.47
8099,1015,1.93,3.11,0.75,1.18
8101,1015,6.03,7.05,0.31,0.83
8103,1015,3.56,7.31,0.20,0.63
8105,1015,3.33,4.31,0.98,1.18
8107,1015,5.13,6.10,0.52,0.91
8109,1015,2.12,5.01,0.19,0.58
8111,1015,3.28,4.92,0.00,0.00
8113,1015,2.75,7.96,0.39,1.08
8115,1015,1.96,1.96,0.00,0.49
8117,1015,4.60,8.00,0.26,0.72
8119,1015,4.30,9.19,0.05,1.20
8121,1015,4.07,9.30,0.00,1.16
8123,1015,3.62,6.96,0.27,0.93
8125,1015,2.21,5.43,0.17,0.68
9001,1015,4.85,9.20,0.32,0.58
9003,1015,4.05,7.77,0.30,0.57
9005,1015,4.80,9.10,0.37,0.66
9007,1015,5.40,9.25,0.37,0.68
9009,1015,4.56,9.00,0.27,0.53
9011,1015,4.37,8.10,0.35,0.79
9013,1015,4.34,7.97,0.47,0.89
9015,1015,4.77,8.69,0.36,0.81
10001,1015,3.90,7.32,0.29,0.76
10003,1015,4.15,8.28,0.29,0.67
10005,1015,4.73,8.18,0.24,0.64
12001,1015,4.56,8.28,0.42,0.92
12003,1015,2.59,5.63,0.10,0.29
12005,1015,4.10,12.73,0.29,0.69
12007,1015,3.10,5.13,0.25,0.25
12009,1015,3.96,7.52,0.31,0.71
12011,1015,3.96,8.40,0.20,0.36
12013,1015,4.29,10.42,0.18,1.40
12015,1015,4.52,8.09,0.28,0.51
12017,1015,4.74,8.07,0.36,0.88
12019,1015,4.37,8.10,0.23,0.94
12021,1015,3.52,6.44,0.19,0.38
12023,1015,3.18,6.97,0.23,0.65
12027,1015,4.77,7.65,0.31,0.73
12029,1015,2.58,4.99,0.34,0.77
12031,1015,3.39,7.12,0.22,0.61
12033,1015,3.83,7.02,0.28,0.67
12035,1015,3.69,6.47,0.22,0.40
12037,1015,5.04,8.30,0.24,0.73
12039,1015,3.67,6.75,0.43,0.40
12041,1015,5.88,5.67,0.30,1.62
12043,1015,3.14,5.06,0.10,0.34
12045,1015,3.97,9.66,0.48,0.96
