views,uploader,county_code
390,,12075
9,,12077
32,1,12077
135,1,12079
88,,12079
28699,1,12081
14733,,12081
26920,1,12083
12408,,12083
6538,1,12085
3877,,12085
116502,1,12086
145012,,12086
2792,,12087
2365,1,12087
3679,1,12089
1968,,12089
10699,,12091
19364,1,12091
325,1,12093
566,,12093
118750,1,12095
117447,,12095
38730,1,12097
21658,,12097
84691,1,12099
51372,,12099
40434,1,12101
25862,,12101
96743,1,12103
72849,,12103
41389,1,12105
32728,,12105
1225,1,12107
1009,,12107
11422,1,12109
12491,,12109
16140,1,12111
27157,,12111
12677,1,12113
14447,,12113
34243,1,12115
25776,,12115
30778,,12117
55163,1,12117
9217,1,12119
6395,,12119
1446,1,12121
1205,,12121
1571,1,12123
470,,12123
3244,1,12125
2738,,12125
42584,1,12127
28078,,12127
1172,1,12129
569,,12129
3640,1,12131
2262,,12131
318,1,12133
218,,12133
113,1,13001
133,,13001
66,1,13003
107,,13003
77,1,13005
180,,13005
2,1,13007
3,,13007
1198,1,13009
856,,13009
82,1,13011
82,,13011
1453,1,13013
1609,,13013
905,1,13015
1098,,13015
241,1,13017
291,,13017
73,1,13019
75,,13019
2829,1,13021
2111,,13021
77,1,13023
73,,13023
101,,13025
86,1,13025
24,1,13027
24,,13027
609,,13029
763,1,13029
1586,1,13031
1477,,13031
68,1,13033
59,,13033
202,,13035
184,1,13035
1134,1,13039
822,,13039
97,1,13043
145,,13043
2252,1,13045
1681,,13045
960,1,13047
962,,13047
26,,13049
17,1,13049
6268,1,13051
4215,,13051
278,1,13053
281,,13053
181,,13055
95,1,13055
6632,1,13057
4985,,13057
7144,1,13059
4423,,13059
2,,13061
1471,,13063
2276,1,13063
11,1,13065
6,,13065
18274,1,13067
12130,,13067
817,,13069
742,1,13069
453,1,13071
456,,13071
3278,1,13073
2338,,13073
87,1,13075
94,,13075
2095,,13077
1990,1,13077
91,,13079
61,1,13079
182,1,13081
174,,13081
249,,13083
250,1,13083
382,1,13085
349,,13085
216,1,13087
190,,13087
17566,1,13089
7525,,13089
34,1,13091
64,,13091
47,1,13093
54,,13093
1852,1,13095
1529,,13095
1765,1,13097
1375,,13097
13,1,13099
13,,13099
1,,13101
598,1,13103
517,,13103
104,,13105
112,1,13105
172,,13107
156,1,13107
13,1,13109
12,,13109
722,1,13111
639,,13111
3193,1,13113
2616,,13113
1190,,13115
1162,1,13115
3564,,13117
3758,1,13117
170,1,13119
247,,13119
132180,1,13121
87611,,13121
692,1,13123
626,,13123
1,,13125
1184,1,13127
1029,,13127
641,1,13129
764,,13129
166,1,13131
114,,13131
248,1,13133
272,,13133
20991,1,13135
15917,,13135
230,1,13137
298,,13137
3334,1,13139
3812,,13139
10,1,13141
2,,13141
158,1,13143
176,,13143
94,1,13145
88,,13145
365,1,13147
386,,13147
35,,13149
31,1,13149
4910,1,13151
3057,,13151
3758,1,13153
3697,,13153
10,1,13155
9,,13155
2050,1,13157
2337,,13157
41,1,13159
58,,13159
64,1,13161
102,,13161
92,1,13163
44,,13163
19,1,13165
45,,13165
30,1,13167
41,,13167
295,1,13169
388,,13169
113,1,13171
88,,13171
26,1,13173
32,,13173
429,1,13175
462,,13175
35,,13177
29,1,13177
898,1,13179
601,,13179
121,,13181
60,1,13181
5,,13183
1888,1,13185
1768,,13185
2437,1,13187
2431,,13187
95,1,13189
93,,13189
127,,13191
137,1,13191
7,1,13193
12,,13193
23,,13195
30,1,13195
4,,13197
8,1,13197
45,1,13199
94,,13199
23,,13201
18,1,13201
60,,13205
82,1,13205
175,1,13207
186,,13207
1,1,13209
6,,13209
259,,13211
174,1,13211
468,1,13213
488,,13213
4625,1,13215
3230,,13215
1096,1,13217
1031,,13217
159,,13219
257,1,13219
923,1,13223
916,,13223
354,1,13225
343,,13225
551,1,13227
703,,13227
105,1,13229
143,,13229
24,,13231
34,1,13231
530,1,13233
546,,13233
91,1,13235
93,,13235
126,1,13237
76,,13237
35,1,13239
49,,13239
63,1,13241
46,,13241
6,1,13243
7,,13243
3245,1,13245
2641,,13245
1148,1,13247
894,,13247
3,1,13249
4,,13249
87,1,13251
85,,13251
10,1,13253
7,,13253
514,1,13255
593,,13255
137,,13257
144,1,13257
255,1,13261
199,,13261
72,1,13267
108,,13267
20,1,13269
5,,13269
2,,13271
16,1,13271
9,1,13273
13,,13273
678,1,13275
591,,13275
878,,13277
544,1,13277
232,1,13279
213,,13279
133,1,13281
190,,13281
51,,13283
33,1,13283
845,1,13285
775,,13285
41,1,13287
29,,13287
1,1,13289
181,1,13291
252,,13291
252,1,13293
275,,13293
597,1,13295
674,,13295
1077,1,13297
1199,,13297
325,,13299
458,1,13299
2,,13301
28,,13303
34,1,13303
110,1,13305
114,,13305
1,,13309
871,,13311
887,1,13311
2655,1,13313
2550,,13313
4,1,13315
6,,13315
136,1,13317
82,,13317
5,1,13319
8,,13319
43,1,13321
41,,13321
5608,1,15001
3035,,15001
26690,1,15003
16702,,15003
1979,1,15007
925,,15007
5491,1,15009
2834,,15009
19134,1,16001
14384,,16001
3,1,16003
4,,16003
1433,1,16005
1054,,16005
33,,16007
31,1,16007
66,1,16009
69,,16009
205,1,16011
205,,16011
500,,16013
775,1,16013
14,1,16015
26,,16015
281,,16017
405,1,16017
1654,,16019
1733,1,16019
56,,16021
90,1,16021
46,1,16023
30,,16023
3332,1,16027
3161,,16027
43,1,16029
41,,16029
151,1,16031
115,,16031
37,1,16035
42,,16035
54,1,16037
27,,16037
185,1,16039
197,,16039
75,1,16041
109,,16041
134,1,16043
151,,16043
45,1,16045
87,,16045
73,,16047
42,1,16047
188,,16049
53,1,16049
99,,16051
105,1,16051
177,1,16053
144,,16053
4104,,16055
4599,1,16055
1688,1,16057
989,,16057
75,1,16059
62,,16059
6,1,16061
7,,16061
960,1,16065
1004,,16065
255,1,16067
128,,16067
1036,1,16069
764,,16069
43,1,16071
43,,16071
130,1,16073
157,,16073
135,1,16075
236,,16075
12,1,16077
19,,16077
79,1,16079
65,,16079
229,,16081
354,1,16081
997,,16083
1017,1,16083
525,1,16085
269,,16085
58,1,16087
42,,16087
881,1,17001
763,,17001
3,1,17003
3,,17003
94,1,17005
74,,17005
994,1,17007
748,,17007
588,1,17009
346,,17009
102,,17011
183,1,17011
236,1,17015
144,,17015
182,,17017
186,1,17017
8242,1,17019
5199,,17019
325,1,17021
313,,17021
52,1,17023
70,,17023
126,1,17025
189,,17025
123,,17027
140,1,17027
2029,1,17029
1475,,17029
279696,1,17031
153300,,17031
71,1,17033
47,,17033
