views,uploader,county_code
257,1,13297
160,,13297
129,1,13299
59,,13299
1,1,13301
2,1,13303
2,,13303
30,1,13305
22,,13305
1,1,13309
1,,13309
157,1,13311
66,,13311
471,,13313
658,1,13313
48,1,13317
7,,13317
7,,13321
5,1,13321
1235,1,15001
407,,15001
2513,,15003
5962,1,15003
440,1,15007
128,,15007
1183,1,15009
398,,15009
1773,,16001
4720,1,16001
4,1,16003
1,,16003
390,1,16005
101,,16005
14,1,16007
2,,16007
7,1,16009
10,,16009
65,1,16011
50,,16011
194,1,16013
73,,16013
2,1,16015
1,,16015
107,1,16017
64,,16017
408,1,16019
174,,16019
29,1,16021
10,,16021
4,,16023
6,1,16023
884,1,16027
456,,16027
8,1,16029
8,,16029
35,1,16031
11,,16031
8,1,16035
11,,16035
24,1,16037
12,,16037
55,1,16039
40,,16039
17,1,16041
17,,16041
36,1,16043
14,,16043
18,1,16045
20,,16045
5,1,16047
8,,16047
3,,16049
18,1,16049
42,1,16051
21,,16051
33,1,16053
26,,16053
1118,1,16055
493,,16055
417,1,16057
113,,16057
3,,16059
25,1,16059
1,1,16061
134,1,16065
107,,16065
45,1,16067
28,,16067
256,1,16069
82,,16069
12,1,16071
5,,16071
20,1,16073
19,,16073
51,1,16075
28,,16075
2,1,16077
21,1,16079
13,,16079
98,1,16081
23,,16081
235,1,16083
168,,16083
107,1,16085
22,,16085
19,1,16087
4,,16087
102,,17001
267,1,17001
1,1,17003
1,,17003
25,1,17005
10,,17005
245,1,17007
83,,17007
148,1,17009
76,,17009
38,1,17011
16,,17011
30,1,17015
16,,17015
26,,17017
29,1,17017
2116,1,17019
479,,17019
54,1,17021
33,,17021
8,1,17023
5,,17023
18,1,17025
30,,17025
13,,17027
16,1,17027
198,,17029
605,1,17029
55589,1,17031
23233,,17031
13,1,17033
5,,17033
377,,17037
879,1,17037
26,,17039
39,1,17039
22,1,17041
19,,17041
6402,1,17043
2243,,17043
79,1,17045
79,,17045
500,1,17047
257,,17047
47,,17049
97,1,17049
20,1,17051
19,,17051
23,1,17053
8,,17053
35,1,17055
29,,17055
17,1,17057
11,,17057
10,,17061
24,1,17061
194,1,17063
118,,17063
10,,17065
18,1,17065
19,1,17067
6,,17067
2,1,17069
178,1,17073
55,,17073
8,1,17075
7,,17075
382,1,17077
115,,17077
6,1,17079
139,1,17081
63,,17081
55,1,17083
20,,17083
114,1,17085
45,,17085
4,1,17087
1,,17087
1408,,17089
3016,1,17089
313,1,17091
170,,17091
363,1,17093
172,,17093
259,1,17095
88,,17095
4299,1,17097
1693,,17097
120,,17099
279,1,17099
14,1,17101
19,,17101
122,1,17103
59,,17103
58,1,17105
35,,17105
453,1,17107
76,,17107
174,1,17109
31,,17109
1526,1,17111
782,,17111
1555,1,17113
697,,17113
316,1,17115
104,,17115
174,1,17117
72,,17117
1451,1,17119
634,,17119
87,1,17121
29,,17121
1,,17123
11,,17125
37,1,17125
12,1,17127
5,,17127
8,1,17129
5,,17129
50,1,17131
16,,17131
206,1,17133
76,,17133
39,1,17135
18,,17135
134,1,17137
47,,17137
21,1,17139
7,,17139
172,,17141
442,1,17141
787,1,17143
311,,17143
35,1,17145
13,,17145
44,,17147
55,1,17147
15,,17149
12,1,17149
30,1,17157
25,,17157
33,1,17159
24,,17159
1098,1,17161
325,,17161
1074,1,17163
399,,17163
11,,17165
41,1,17165
349,,17167
890,1,17167
73,,17169
93,1,17169
11,,17173
11,1,17173
5,1,17175
1,,17175
49,,17177
160,1,17177
207,,17179
506,1,17179
9,1,17181
12,,17181
117,1,17183
74,,17183
30,,17185
46,1,17185
23,1,17187
30,,17187
10,,17189
19,1,17189
19,1,17191
20,,17191
11,,17193
7,1,17193
159,1,17195
99,,17195
1232,,17197
2366,1,17197
555,1,17199
295,,17199
1203,1,17201
515,,17201
104,1,17203
41,,17203
124,1,18001
66,,18001
1935,1,18003
836,,18003
318,1,18005
186,,18005
2,1,18007
3,,18007
6,,18009
16,1,18009
406,1,18011
175,,18011
19,1,18013
7,,18013
11,,18015
29,1,18015
102,,18017
194,1,18017
461,1,18019
207,,18019
37,,18021
92,1,18021
31,,18023
43,1,18023
10,1,18025
2,,18025
85,1,18027
88,,18027
259,1,18029
225,,18029
129,1,18031
35,,18031
179,1,18033
145,,18033
477,1,18035
181,,18035
149,1,18037
51,,18037
939,1,18039
492,,18039
28,,18041
49,1,18041
445,1,18043
184,,18043
22,1,18045
4,,18045
12,1,18047
11,,18047
51,1,18049
28,,18049
44,1,18051
36,,18051
211,1,18053
101,,18053
18,1,18055
32,,18055
1923,1,18057
1062,,18057
146,,18059
402,1,18059
70,1,18061
24,,18061
581,1,18063
284,,18063
84,1,18065
68,,18065
142,,18067
269,1,18067
52,,18069
75,1,18069
107,1,18071
54,,18071
91,1,18073
58,,18073
18,,18075
19,1,18075
182,1,18077
64,,18077
37,1,18079
19,,18079
732,1,18081
588,,18081
93,1,18083
89,,18083
182,,18085
479,1,18085
55,1,18087
27,,18087
732,,18089
1627,1,18089
301,1,18091
141,,18091
62,1,18093
43,,18093
129,,18095
342,1,18095
2018,,18097
5193,1,18097
157,1,18099
91,,18099
4,1,18101
3,,18101
85,1,18103
41,,18103
1662,1,18105
414,,18105
149,1,18107
64,,18107
134,1,18109
86,,18109
44,1,18111
21,,18111
143,1,18113
84,,18113
11,1,18115
9,,18115
35,,18117
39,1,18117
25,1,18119
5,,18119
4,1,18121
2,,18121
39,1,18123
9,,18123
3,1,18125
2,,18125
408,,18127
1103,1,18127
12,1,18129
8,,18129
27,1,18131
15,,18131
144,1,18133
28,,18133
12,,18135
30,1,18135
109,1,18137
86,,18137
4,1,18139
9,,18139
1733,1,18141
699,,18141
35,1,18143
22,,18143
248,1,18145
130,,18145
22,,18147
26,1,18147
80,1,18149
30,,18149
109,,18151
153,1,18151
15,1,18153
13,,18155
5,1,18155
1475,1,18157
397,,18157
36,1,18159
24,,18159
16,1,18161
17,,18161
1128,1,18163
394,,18163
142,1,18165
65,,18165
496,1,18167
198,,18167
35,1,18169
18,,18169
225,1,18173
106,,18173
175,1,18175
90,,18175
205,1,18177
114,,18177
37,,18179
67,1,18179
61,1,18181
26,,18181
158,1,18183
88,,18183
18,1,19001
3,,19001
5,1,19003
28,1,19005
5,,19005
50,1,19007
16,,19007
24,1,19009
2,,19009
213,1,19011
18,,19011
1897,1,19013
287,,19013
225,1,19015
22,,19015
195,1,19017
45,,19017
147,1,19019
18,,19019
78,,19021
137,1,19021
117,1,19023
4,,19023
14,1,19025
2,,19025
88,1,19027
37,,19027
71,1,19029
15,,19029
232,1,19031
18,,19031
425,1,19033
80,,19033
74,1,19035
5,,19035
60,1,19037
13,,19037
12,,19039
63,1,19039
150,1,19041
24,,19041
188,1,19043
28,,19043
93,,19045
373,1,19045
98,1,19047
57,,19047
366,1,19049
73,,19049
29,1,19051
12,,19051
42,1,19053
7,,19053
69,1,19055
10,,19055
435,1,19057
86,,19057
35,,19059
218,1,19059
254,,19061
1305,1,19061
53,1,19063
6,,19063
58,1,19065
13,,19065
222,1,19067
85,,19067
12,,19069
48,1,19069
19,1,19071
4,,19071
57,1,19073
