views,uploader,county_code
4632,1,17019
1159,,17019
128,1,17021
46,,17021
23,1,17023
8,,17023
39,1,17025
31,,17025
46,1,17027
26,,17027
316,,17029
996,1,17029
144500,1,17031
44047,,17031
8,1,17033
9,,17033
18,1,17035
6,,17035
2678,1,17037
805,,17037
151,1,17039
77,,17039
47,1,17041
29,,17041
13163,1,17043
4309,,17043
90,1,17045
85,,17045
403,,17047
945,1,17047
71,,17049
162,1,17049
40,1,17051
13,,17051
33,1,17053
7,,17053
120,1,17055
27,,17055
51,1,17057
16,,17057
24,,17061
37,1,17061
343,1,17063
154,,17063
15,,17065
26,1,17065
21,1,17067
12,,17067
6,1,17069
3,,17069
1,1,17071
290,1,17073
112,,17073
39,1,17075
10,,17075
751,1,17077
248,,17077
10,1,17079
8,,17079
213,1,17081
95,,17081
133,1,17083
34,,17083
195,1,17085
46,,17085
2,1,17087
2,,17087
5703,1,17089
1941,,17089
456,1,17091
225,,17091
671,1,17093
209,,17093
442,1,17095
173,,17095
9023,1,17097
2556,,17097
551,1,17099
272,,17099
27,1,17101
22,,17101
112,,17103
231,1,17103
103,1,17105
61,,17105
667,1,17107
425,,17107
344,1,17109
137,,17109
2994,1,17111
1225,,17111
1032,,17113
3452,1,17113
559,1,17115
200,,17115
341,1,17117
97,,17117
996,,17119
3077,1,17119
144,1,17121
69,,17121
2,,17123
6,1,17123
48,1,17125
22,,17125
20,1,17127
8,,17127
20,1,17129
8,,17129
85,1,17131
18,,17131
423,1,17133
169,,17133
60,1,17135
25,,17135
185,1,17137
83,,17137
52,1,17139
18,,17139
891,1,17141
258,,17141
1686,1,17143
513,,17143
56,1,17145
20,,17145
109,1,17147
39,,17147
30,,17149
25,1,17149
58,1,17157
45,,17157
68,1,17159
45,,17159
439,,17161
1480,1,17161
585,,17163
1949,1,17163
58,1,17165
19,,17165
1812,1,17167
488,,17167
75,,17169
216,1,17169
3,,17171
1,1,17171
33,1,17173
16,,17173
5,1,17175
3,,17175
90,,17177
288,1,17177
1141,1,17179
357,,17179
17,1,17181
13,,17181
197,1,17183
86,,17183
78,1,17185
44,,17185
72,1,17187
33,,17187
33,1,17189
11,,17189
57,1,17191
31,,17191
21,1,17193
11,,17193
264,1,17195
125,,17195
4135,1,17197
1612,,17197
1053,1,17199
473,,17199
2285,1,17201
813,,17201
399,1,17203
118,,17203
186,1,18001
98,,18001
3745,1,18003
1346,,18003
302,,18005
650,1,18005
5,1,18007
6,,18007
11,,18009
34,1,18009
928,1,18011
345,,18011
34,1,18013
8,,18013
53,1,18015
29,,18015
296,1,18017
111,,18017
839,1,18019
330,,18019
145,1,18021
84,,18021
61,1,18023
39,,18023
12,1,18025
2,,18025
129,1,18027
88,,18027
370,1,18029
201,,18029
155,1,18031
42,,18031
234,1,18033
176,,18033
1066,1,18035
329,,18035
100,,18037
240,1,18037
1908,1,18039
874,,18039
89,1,18041
66,,18041
806,1,18043
253,,18043
27,1,18045
16,,18045
18,1,18047
9,,18047
58,,18049
83,1,18049
82,1,18051
39,,18051
439,1,18053
198,,18053
58,1,18055
36,,18055
1475,,18057
4256,1,18057
592,1,18059
278,,18059
120,1,18061
46,,18061
1094,1,18063
429,,18063
163,1,18065
114,,18065
456,1,18067
196,,18067
147,1,18069
68,,18069
135,1,18071
64,,18071
146,1,18073
76,,18073
30,,18075
57,1,18075
286,1,18077
111,,18077
55,1,18079
32,,18079
773,,18081
1402,1,18081
137,,18083
175,1,18083
607,1,18085
266,,18085
154,1,18087
55,,18087
2751,1,18089
1009,,18089
537,1,18091
165,,18091
133,1,18093
79,,18093
517,1,18095
231,,18095
11621,1,18097
3405,,18097
173,,18099
265,1,18099
9,1,18101
2,,18101
122,1,18103
56,,18103
3917,1,18105
720,,18105
228,1,18107
100,,18107
240,1,18109
152,,18109
26,,18111
57,1,18111
253,1,18113
127,,18113
26,1,18115
6,,18115
76,1,18117
61,,18117
43,1,18119
9,,18119
13,1,18121
8,,18121
20,,18123
67,1,18123
12,1,18125
5,,18125
2043,1,18127
651,,18127
73,1,18129
14,,18129
44,1,18131
18,,18131
274,1,18133
67,,18133
26,1,18135
19,,18135
96,,18137
175,1,18137
12,1,18139
14,,18139
3559,1,18141
999,,18141
63,1,18143
41,,18143
232,,18145
489,1,18145
29,,18147
76,1,18147
72,,18149
113,1,18149
304,1,18151
154,,18151
3,,18153
19,1,18153
6,1,18155
4,,18155
3246,1,18157
870,,18157
33,,18159
89,1,18159
23,1,18161
29,,18161
1921,1,18163
577,,18163
228,1,18165
90,,18165
908,1,18167
361,,18167
80,1,18169
43,,18169
498,1,18173
221,,18173
280,1,18175
90,,18175
180,,18177
484,1,18177
125,1,18179
46,,18179
110,1,18181
44,,18181
279,1,18183
131,,18183
15,1,19001
8,,19001
10,1,19003
3,,19003
38,1,19005
3,,19005
27,,19007
68,1,19007
25,1,19009
8,,19009
242,1,19011
66,,19011
2582,1,19013
543,,19013
230,1,19015
54,,19015
353,1,19017
80,,19017
186,1,19019
55,,19019
268,1,19021
167,,19021
16,,19023
163,1,19023
28,1,19025
7,,19025
122,1,19027
63,,19027
103,1,19029
30,,19029
284,1,19031
50,,19031
589,1,19033
419,,19033
57,1,19035
24,,19035
107,1,19037
26,,19037
78,1,19039
21,,19039
176,1,19041
